user_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,766,1,999.0,294.0,668.5,602.0,1564.5,Medium
AE2E632GMYL5U2ESNXOX5UT5D34A,513,1,299.0,123.5,668.5,913.5,1705.5,High
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,1766,2,4498.0,894.0,162.0,221.0,1277.0,Medium
AE2ODWBBOBD2SITDDIEJ644OSRFQ,1569,2,358.0,799.0,162.0,864.0,1825.0,High
AE2PQX6JEE6UW7QB6SNEYP3TAXLQ,1488,1,1519.0,766.0,668.5,467.5,1902.0,High
AE2PYPC3OF2HEF4NCE63FBFFFOMQ,1934,1,19999.0,989.0,668.5,57.0,1714.5,High
AE2SWHFUXPXFJLITBNYV5YGTI5LQ,1229,1,899.0,632.0,668.5,634.0,1934.5,High
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,551,2,24598.0,154.0,162.0,42.0,358.0,Low
AE2VXY4CFO36MDSIMPG43XHNF4GA,793,3,14699.0,309.0,57.0,87.0,453.0,Low
AE2YKXGI2XFOVDHNL6FF2RQAZ55A,1017,1,2249.0,481.0,668.5,362.5,1512.0,Medium
AE37UHWDVGTD3RZUERS6DMZ73QIA,847,1,5890.0,344.5,668.5,197.0,1210.0,Low
AE3CFONNMANNC5QPYIAXV67EUYUQ,1056,2,2068.0,518.0,162.0,382.0,1062.0,Low
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,1568,3,12347.0,798.0,57.0,113.0,968.0,Low
AE3EGIT22MVVMLV2BZBQAURWSF2Q,1841,1,293.0,937.0,668.5,926.5,2532.0,VIP
AE3GIVX24R4R67DU2MXLX24XYCIQ,1116,1,599.0,557.0,668.5,738.5,1964.0,High
AE3GY55N5USCMWLS2JIO7CZFS5FQ,2081,1,341.0,1056.5,668.5,886.0,2611.0,VIP
AE3MQNNHHLUHXURL5S7IAR7JTGNQ,808,1,32999.0,320.0,668.5,22.0,1010.5,Low
AE3O6366WGEQAANKJ76QETTUQQTQ,720,3,30597.0,267.0,57.0,30.0,354.0,Low
AE3Q6KSUK5P75D5HFYHCRAOLODSA,1767,1,389.0,895.0,668.5,849.0,2412.5,VIP
AE43KS43Y6L62UBGG6K64AD5OISA,601,1,1989.0,184.5,668.5,400.0,1253.0,Low
AE43YOKQNGCH4SSBHBYFXDSPX6YA,1385,1,246.0,710.0,668.5,965.0,2343.5,VIP
AE442FMTBZA5GS5MDBKIB76GQDXQ,2155,1,1439.0,1094.0,668.5,498.5,2261.0,VIP
AE47XF2766XJOEOI42DVP2HMB4YQ,392,1,1499.0,33.5,668.5,477.0,1179.0,Low
AE4G376L73UNPWICYOSYO2KNXYJA,1634,1,99.0,833.0,668.5,1082.0,2583.5,VIP
AE4KODYP3MGRZS2JI6V7ZWVI5CHA,1784,1,1709.0,907.0,668.5,437.0,2012.5,High
AE4VKQV43AJEZDWE4WVJWFDY6RVA,573,1,1324.0,169.5,668.5,526.0,1364.0,Medium
AE4W5ONOAXFJGV2L3AE72XWKSUKA,2003,1,678.0,1023.0,668.5,704.5,2396.0,VIP
AE4YGDAAZX7ZDDGP4BTONW72CMIA,358,1,7499.0,2.5,668.5,165.5,836.5,Low
AE4YTBWL7JODU6DEWIW2PTUQ5XPQ,520,1,2999.0,128.5,668.5,288.0,1085.0,Low
AE5333EQIF5YVB2LAEVCWPH2U5DQ,1951,1,259.0,995.0,668.5,947.5,2611.0,VIP
AE53NI5ENHBJCJOCII2GH6FLUOUA,2001,1,1799.0,1021.5,668.5,424.5,2114.5,VIP
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,813,5,8415.0,324.0,8.5,154.0,486.5,Low
AE55WJERHR4C7SEAIWX4JJHFSZBA,566,2,31498.0,162.5,162.0,25.0,349.5,Low
AE5KLF5JEOL4PMUGKERILYLPDSNA,722,1,2499.0,268.5,668.5,335.5,1272.5,Medium
AE5S2QIJPXDUQT54XGJVGPQJOTSA,1985,1,649.0,1015.0,668.5,716.0,2399.5,VIP
AE5VS52EYPPGCA6BVWXK2NT6NFBA,1405,1,9799.0,721.0,668.5,130.0,1519.5,Medium
AE642RIGZIT2VPQJOLNUZ34QVWJQ,590,1,399.0,178.5,668.5,831.5,1678.5,Medium
AE6T7WGZSJSYC6C44JF6AJLJDOCA,609,2,2635.0,190.0,162.0,320.0,672.0,Low
AE6THY5M7QTHCQRZ6PIUENS3NY4A,2065,1,749.0,1048.0,668.5,680.0,2396.5,VIP
AE7BNHD6PZQQD7K3OKFEPFHTISSA,471,1,333.0,82.5,668.5,892.0,1643.0,Medium
AE7GD3VRRYQEAHDR7FXJIR23INYA,365,3,22761.0,8.0,57.0,47.0,112.0,Low
AE7GGDNBOHD2JQ2X5JPD666SAQOQ,1853,1,349.0,943.0,668.5,877.0,2488.5,VIP
AE7O44O3ZCU6YCS56X4UBNSMN2DA,1911,1,13990.0,974.0,668.5,97.0,1739.5,High
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,911,3,10488.0,396.0,57.0,124.0,577.0,Low
AE7QAFZ3XNWF3O4BK4WIGFB3JGIQ,450,1,399.0,71.0,668.5,831.5,1571.0,Medium
AE7VL5JTR7ZZ67UPBM6KP2NYEOYQ,475,1,199.0,89.0,668.5,1007.0,1764.5,High
AEA2HQHMFG3ZGJFOLLJQ65WKIZUQ,1652,3,35497.0,840.0,57.0,16.0,913.0,Low
AEA4764BEJKLL5UEYQ75K6TRRD3A,1432,1,4499.0,739.0,668.5,219.5,1627.0,Medium
AEA5X2W76STDCKVMFZ2WP7H7QFUA,370,1,199.0,12.5,668.5,1007.0,1688.0,Medium
AEA6472BE7C24EQJU3GKJNILU27A,1675,1,120.0,848.0,668.5,1069.5,2586.0,VIP
AEACBJY3IOIQP26VSSYJH4IGFDXQ,378,1,1601.0,20.0,668.5,455.0,1143.5,Low
AEAJEELFQNAUNC3VXCKYR6RQPCJQ,421,1,1199.0,52.0,668.5,558.0,1278.5,Medium
AEAKVP53B3LBTLJOVAQZUWEF6PYQ,1942,1,3249.0,992.0,668.5,269.0,1929.5,High
AEAMIR3CMSA32IDEINSJKHRNANTA,468,5,1392.0,81.0,8.5,515.0,604.5,Low
AEAOO4M764H7IQUU3CTHRMQBB4SQ,1114,2,838.0,556.0,162.0,649.0,1367.0,Medium
AEATXOF4DX2VJQQBD2OLGA6WD2NA,983,1,2199.0,452.0,668.5,369.0,1489.5,Medium
AEB5LUPJLVMRBV2DQYWOLGIC2OXQ,1918,1,2575.0,979.0,668.5,330.0,1977.5,High
